省份,年份,月份,年月,供应链环节,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率,数据完整性标记
天津,2023,1,2023-01,生产,2,2,0,0,0,0,0.0,,基本完整
天津,2023,1,2023-01,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2023,2,2023-02,流通,6,6,0,0,0,0,0.0,,基本完整
天津,2023,2,2023-02,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2023,3,2023-03,流通,6,6,0,0,0,0,0.0,,基本完整
天津,2023,4,2023-04,流通,16,16,0,0,0,0,0.0,,基本完整
天津,2023,5,2023-05,流通,13,13,0,0,0,0,0.0,,基本完整
天津,2023,5,2023-05,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2023,6,2023-06,流通,16,16,0,0,0,0,0.0,,基本完整
天津,2023,7,2023-07,流通,20,20,0,0,0,0,0.0,,基本完整
天津,2023,7,2023-07,生产,3,3,0,0,0,0,0.0,,基本完整
天津,2023,7,2023-07,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2023,8,2023-08,流通,15,15,0,0,0,0,0.0,,基本完整
天津,2023,9,2023-09,流通,16,16,0,0,0,0,0.0,,基本完整
天津,2023,9,2023-09,餐饮,3,3,0,0,0,0,0.0,,基本完整
天津,2023,10,2023-10,流通,33,33,0,0,0,0,0.0,,基本完整
天津,2023,10,2023-10,生产,3,3,0,0,0,0,0.0,,基本完整
天津,2023,10,2023-10,餐饮,8,8,0,0,0,0,0.0,,基本完整
天津,2023,11,2023-11,流通,44,42,2,0,0,0,0.045454545454545456,,基本完整
天津,2023,11,2023-11,生产,2,2,0,0,0,0,0.0,,基本完整
天津,2023,11,2023-11,餐饮,3,3,0,0,0,0,0.0,,基本完整
天津,2023,12,2023-12,流通,61,61,0,0,0,0,0.0,,基本完整
天津,2023,12,2023-12,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2024,1,2024-01,流通,8,8,0,0,0,0,0.0,,基本完整
天津,2024,2,2024-02,流通,15,15,0,0,0,0,0.0,,基本完整
天津,2024,3,2024-03,流通,10,10,0,0,0,0,0.0,,基本完整
天津,2024,3,2024-03,生产,1,1,0,0,0,0,0.0,,基本完整
天津,2024,3,2024-03,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2024,4,2024-04,流通,21,20,1,0,0,0,0.047619047619047616,,基本完整
天津,2024,5,2024-05,流通,11,11,0,0,0,0,0.0,,基本完整
天津,2024,5,2024-05,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2024,6,2024-06,流通,14,14,0,0,0,0,0.0,,基本完整
天津,2024,6,2024-06,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2024,7,2024-07,流通,18,18,0,1,0,0,0.0,0.0,基本完整
天津,2024,8,2024-08,流通,9,9,0,0,0,0,0.0,,基本完整
天津,2024,9,2024-09,流通,37,37,0,0,0,0,0.0,,基本完整
天津,2024,9,2024-09,生产,4,4,0,0,0,0,0.0,,基本完整
天津,2024,10,2024-10,流通,28,28,0,0,0,0,0.0,,基本完整
天津,2024,10,2024-10,生产,1,1,0,0,0,0,0.0,,基本完整
天津,2024,11,2024-11,流通,14,14,0,0,0,0,0.0,,基本完整
天津,2024,11,2024-11,生产,3,2,1,0,0,0,0.3333333333333333,,基本完整
天津,2024,11,2024-11,餐饮,1,1,0,0,0,0,0.0,,基本完整
天津,2024,12,2024-12,流通,31,31,0,0,0,0,0.0,,基本完整
天津,2024,12,2024-12,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,1,2023-01,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,2,2023-02,流通,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,2,2023-02,餐饮,8,8,0,0,0,0,0.0,,基本完整
宁夏,2023,6,2023-06,流通,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,6,2023-06,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,7,2023-07,餐饮,5,5,0,0,0,0,0.0,,基本完整
宁夏,2023,8,2023-08,生产,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,8,2023-08,餐饮,14,14,0,0,0,0,0.0,,基本完整
宁夏,2023,11,2023-11,流通,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,11,2023-11,生产,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,11,2023-11,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2023,12,2023-12,餐饮,8,8,0,0,0,0,0.0,,基本完整
宁夏,2024,1,2024-01,餐饮,2,2,0,0,0,0,0.0,,基本完整
宁夏,2024,2,2024-02,流通,1,1,0,0,0,0,0.0,,基本完整
宁夏,2024,2,2024-02,餐饮,5,5,0,0,0,0,0.0,,基本完整
宁夏,2024,3,2024-03,流通,1,1,0,0,0,0,0.0,,基本完整
宁夏,2024,5,2024-05,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2024,6,2024-06,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2024,7,2024-07,餐饮,3,3,0,0,0,0,0.0,,基本完整
宁夏,2024,8,2024-08,餐饮,4,4,0,0,0,0,0.0,,基本完整
宁夏,2024,9,2024-09,餐饮,23,23,0,0,0,0,0.0,,基本完整
宁夏,2024,10,2024-10,流通,1,1,0,0,0,0,0.0,,基本完整
宁夏,2024,10,2024-10,餐饮,4,4,0,0,0,0,0.0,,基本完整
宁夏,2024,11,2024-11,餐饮,1,1,0,0,0,0,0.0,,基本完整
宁夏,2024,12,2024-12,餐饮,4,4,0,0,0,0,0.0,,基本完整
安徽,2023,1,2023-01,流通,94,93,1,0,0,0,0.010638297872340425,,基本完整
安徽,2023,1,2023-01,生产,1,1,0,0,0,0,0.0,,基本完整
安徽,2023,1,2023-01,餐饮,11,11,0,0,0,0,0.0,,基本完整
安徽,2023,2,2023-02,流通,61,61,0,0,0,0,0.0,,基本完整
安徽,2023,2,2023-02,生产,1,1,0,0,0,0,0.0,,基本完整
安徽,2023,2,2023-02,餐饮,7,7,0,0,0,0,0.0,,基本完整
安徽,2023,3,2023-03,流通,71,68,3,1,1,1,0.04225352112676056,1.0,基本完整
安徽,2023,3,2023-03,生产,3,3,0,0,0,0,0.0,,基本完整
安徽,2023,3,2023-03,餐饮,9,9,0,0,0,0,0.0,,基本完整
安徽,2023,4,2023-04,流通,125,123,2,3,1,1,0.016,0.3333333333333333,基本完整
安徽,2023,4,2023-04,生产,21,21,0,0,0,0,0.0,,基本完整
安徽,2023,4,2023-04,餐饮,28,28,0,0,0,0,0.0,,基本完整
安徽,2023,5,2023-05,流通,81,81,0,0,0,0,0.0,,基本完整
安徽,2023,5,2023-05,生产,11,11,0,0,0,0,0.0,,基本完整
安徽,2023,5,2023-05,餐饮,16,15,1,1,1,1,0.0625,1.0,基本完整
安徽,2023,6,2023-06,流通,118,117,1,0,0,0,0.00847457627118644,,基本完整
安徽,2023,6,2023-06,生产,12,12,0,0,0,0,0.0,,基本完整
安徽,2023,6,2023-06,餐饮,7,7,0,0,0,0,0.0,,基本完整
安徽,2023,7,2023-07,流通,109,109,0,0,0,0,0.0,,基本完整
安徽,2023,7,2023-07,生产,10,10,0,0,0,0,0.0,,基本完整
安徽,2023,7,2023-07,餐饮,12,12,0,0,0,0,0.0,,基本完整
安徽,2023,8,2023-08,流通,146,143,3,0,0,0,0.02054794520547945,,基本完整
安徽,2023,8,2023-08,生产,8,8,0,0,0,0,0.0,,基本完整
安徽,2023,8,2023-08,餐饮,4,4,0,0,0,0,0.0,,基本完整
安徽,2023,9,2023-09,流通,104,104,0,0,0,0,0.0,,基本完整
安徽,2023,9,2023-09,生产,5,5,0,0,0,0,0.0,,基本完整
安徽,2023,9,2023-09,餐饮,7,7,0,0,0,0,0.0,,基本完整
安徽,2023,10,2023-10,流通,143,142,1,2,0,0,0.006993006993006993,0.0,基本完整
安徽,2023,10,2023-10,生产,16,16,0,0,0,0,0.0,,基本完整
安徽,2023,10,2023-10,餐饮,12,12,0,0,0,0,0.0,,基本完整
安徽,2023,11,2023-11,流通,229,227,2,2,2,2,0.008733624454148471,1.0,基本完整
安徽,2023,11,2023-11,生产,12,12,0,0,0,0,0.0,,基本完整
安徽,2023,11,2023-11,餐饮,9,9,0,0,0,0,0.0,,基本完整
安徽,2023,12,2023-12,流通,261,257,4,13,1,1,0.01532567049808429,0.07692307692307693,基本完整
安徽,2023,12,2023-12,生产,18,18,0,0,0,0,0.0,,基本完整
安徽,2023,12,2023-12,餐饮,21,21,0,0,0,0,0.0,,基本完整
安徽,2024,1,2024-01,其他,1,0,1,1,1,1,1.0,1.0,基本完整
安徽,2024,1,2024-01,流通,103,102,1,0,0,0,0.009708737864077669,,基本完整
安徽,2024,1,2024-01,生产,1,1,0,0,0,0,0.0,,基本完整
安徽,2024,1,2024-01,餐饮,7,6,1,1,1,1,0.14285714285714285,1.0,基本完整
安徽,2024,2,2024-02,流通,78,78,0,0,0,0,0.0,,基本完整
安徽,2024,2,2024-02,生产,1,1,0,0,0,0,0.0,,基本完整
安徽,2024,2,2024-02,餐饮,7,7,0,0,0,0,0.0,,基本完整
安徽,2024,3,2024-03,流通,97,97,0,0,0,0,0.0,,基本完整
安徽,2024,3,2024-03,生产,35,35,0,0,0,0,0.0,,基本完整
安徽,2024,3,2024-03,餐饮,2,2,0,0,0,0,0.0,,基本完整
安徽,2024,4,2024-04,流通,77,77,0,0,0,0,0.0,,基本完整
安徽,2024,4,2024-04,生产,12,12,0,0,0,0,0.0,,基本完整
安徽,2024,4,2024-04,餐饮,25,25,0,0,0,0,0.0,,基本完整
安徽,2024,5,2024-05,流通,81,80,1,1,1,1,0.012345679012345678,1.0,基本完整
安徽,2024,5,2024-05,生产,26,26,0,0,0,0,0.0,,基本完整
安徽,2024,5,2024-05,餐饮,16,16,0,0,0,0,0.0,,基本完整
安徽,2024,6,2024-06,流通,92,92,0,0,0,0,0.0,,基本完整
安徽,2024,6,2024-06,生产,11,11,0,0,0,0,0.0,,基本完整
安徽,2024,6,2024-06,餐饮,27,27,0,0,0,0,0.0,,基本完整
安徽,2024,7,2024-07,流通,164,163,1,4,1,1,0.006097560975609756,0.25,基本完整
安徽,2024,7,2024-07,生产,6,6,0,0,0,0,0.0,,基本完整
安徽,2024,7,2024-07,餐饮,12,12,0,0,0,0,0.0,,基本完整
安徽,2024,8,2024-08,流通,158,158,0,2,0,0,0.0,0.0,基本完整
安徽,2024,8,2024-08,生产,5,5,0,0,0,0,0.0,,基本完整
安徽,2024,8,2024-08,餐饮,6,6,0,0,0,0,0.0,,基本完整
安徽,2024,9,2024-09,流通,153,152,1,0,0,0,0.006535947712418301,,基本完整
安徽,2024,9,2024-09,生产,10,10,0,0,0,0,0.0,,基本完整
安徽,2024,9,2024-09,餐饮,5,5,0,0,0,0,0.0,,基本完整
安徽,2024,10,2024-10,流通,120,120,0,0,0,0,0.0,,基本完整
安徽,2024,10,2024-10,生产,4,4,0,0,0,0,0.0,,基本完整
安徽,2024,10,2024-10,餐饮,5,5,0,0,0,0,0.0,,基本完整
安徽,2024,11,2024-11,流通,236,236,0,11,0,0,0.0,0.0,基本完整
安徽,2024,11,2024-11,生产,21,20,1,0,0,0,0.047619047619047616,,基本完整
安徽,2024,11,2024-11,餐饮,13,13,0,0,0,0,0.0,,基本完整
安徽,2024,12,2024-12,流通,249,249,0,2,0,0,0.0,0.0,基本完整
安徽,2024,12,2024-12,生产,24,24,0,0,0,0,0.0,,基本完整
安徽,2024,12,2024-12,餐饮,18,17,1,1,1,1,0.05555555555555555,1.0,基本完整
山东,2023,1,2023-01,流通,201,200,1,3,0,0,0.004975124378109453,0.0,基本完整
山东,2023,1,2023-01,生产,11,11,0,0,0,0,0.0,,基本完整
山东,2023,1,2023-01,餐饮,41,41,0,0,0,0,0.0,,基本完整
山东,2023,2,2023-02,流通,214,214,0,0,0,0,0.0,,基本完整
山东,2023,2,2023-02,生产,29,28,1,1,1,1,0.034482758620689655,1.0,基本完整
山东,2023,2,2023-02,餐饮,26,26,0,0,0,0,0.0,,基本完整
山东,2023,3,2023-03,流通,188,188,0,0,0,0,0.0,,基本完整
山东,2023,3,2023-03,生产,1,1,0,0,0,0,0.0,,基本完整
山东,2023,3,2023-03,餐饮,27,27,0,0,0,0,0.0,,基本完整
山东,2023,4,2023-04,流通,270,269,1,1,1,1,0.003703703703703704,1.0,基本完整
山东,2023,4,2023-04,生产,30,30,0,0,0,0,0.0,,基本完整
山东,2023,4,2023-04,餐饮,54,54,0,0,0,0,0.0,,基本完整
山东,2023,5,2023-05,流通,284,284,0,0,0,0,0.0,,基本完整
山东,2023,5,2023-05,生产,8,7,1,0,0,0,0.125,,基本完整
山东,2023,5,2023-05,餐饮,32,32,0,0,0,0,0.0,,基本完整
山东,2023,6,2023-06,流通,391,389,2,5,1,1,0.005115089514066497,0.2,基本完整
山东,2023,6,2023-06,生产,56,55,1,0,0,0,0.017857142857142856,,基本完整
山东,2023,6,2023-06,餐饮,18,18,0,0,0,0,0.0,,基本完整
山东,2023,7,2023-07,流通,340,340,0,6,0,0,0.0,0.0,基本完整
山东,2023,7,2023-07,生产,17,16,1,0,0,0,0.058823529411764705,,基本完整
山东,2023,7,2023-07,餐饮,91,91,0,0,0,0,0.0,,基本完整
山东,2023,8,2023-08,流通,351,351,0,4,0,0,0.0,0.0,基本完整
山东,2023,8,2023-08,生产,20,20,0,0,0,0,0.0,,基本完整
山东,2023,8,2023-08,餐饮,138,138,0,0,0,0,0.0,,基本完整
山东,2023,9,2023-09,流通,262,258,4,1,0,0,0.015267175572519083,0.0,基本完整
山东,2023,9,2023-09,生产,37,32,5,6,3,3,0.13513513513513514,0.5,基本完整
山东,2023,9,2023-09,餐饮,31,30,1,0,0,0,0.03225806451612903,,基本完整
山东,2023,10,2023-10,流通,416,415,1,1,1,0,0.002403846153846154,1.0,基本完整
山东,2023,10,2023-10,生产,30,30,0,0,0,0,0.0,,基本完整
山东,2023,10,2023-10,餐饮,87,87,0,0,0,0,0.0,,基本完整
山东,2023,11,2023-11,流通,581,578,3,2,0,0,0.0051635111876075735,0.0,基本完整
山东,2023,11,2023-11,生产,84,77,7,6,6,5,0.08333333333333333,1.0,基本完整
山东,2023,11,2023-11,餐饮,95,93,2,2,2,1,0.021052631578947368,1.0,基本完整
山东,2023,12,2023-12,流通,633,631,2,11,1,1,0.00315955766192733,0.09090909090909091,基本完整
山东,2023,12,2023-12,生产,39,39,0,0,0,0,0.0,,基本完整
山东,2023,12,2023-12,餐饮,45,43,2,2,2,2,0.044444444444444446,1.0,基本完整
山东,2024,1,2024-01,流通,240,239,1,1,1,1,0.004166666666666667,1.0,基本完整
山东,2024,1,2024-01,生产,47,47,0,0,0,0,0.0,,基本完整
山东,2024,1,2024-01,餐饮,24,24,0,0,0,0,0.0,,基本完整
山东,2024,2,2024-02,流通,177,176,1,2,0,0,0.005649717514124294,0.0,基本完整
山东,2024,2,2024-02,生产,4,4,0,0,0,0,0.0,,基本完整
山东,2024,2,2024-02,餐饮,2,2,0,0,0,0,0.0,,基本完整
山东,2024,3,2024-03,流通,217,217,0,0,0,0,0.0,,基本完整
山东,2024,3,2024-03,生产,28,28,0,0,0,0,0.0,,基本完整
山东,2024,3,2024-03,餐饮,7,7,0,0,0,0,0.0,,基本完整
山东,2024,4,2024-04,流通,268,267,1,1,1,1,0.0037313432835820895,1.0,基本完整
山东,2024,4,2024-04,生产,1,1,0,0,0,0,0.0,,基本完整
山东,2024,4,2024-04,餐饮,23,23,0,0,0,0,0.0,,基本完整
山东,2024,5,2024-05,流通,431,427,4,0,0,0,0.009280742459396751,,基本完整
山东,2024,5,2024-05,生产,31,31,0,0,0,0,0.0,,基本完整
山东,2024,5,2024-05,餐饮,60,57,3,3,3,3,0.05,1.0,基本完整
山东,2024,6,2024-06,流通,296,294,2,2,0,0,0.006756756756756757,0.0,基本完整
山东,2024,6,2024-06,生产,26,25,1,1,1,1,0.038461538461538464,1.0,基本完整
山东,2024,6,2024-06,餐饮,92,92,0,0,0,0,0.0,,基本完整
山东,2024,7,2024-07,流通,302,300,2,5,0,0,0.006622516556291391,0.0,基本完整
山东,2024,7,2024-07,生产,32,31,1,0,0,0,0.03125,,基本完整
山东,2024,7,2024-07,餐饮,31,28,3,2,2,2,0.0967741935483871,1.0,基本完整
山东,2024,8,2024-08,流通,319,315,4,6,2,2,0.012539184952978056,0.3333333333333333,基本完整
山东,2024,8,2024-08,生产,18,18,0,0,0,0,0.0,,基本完整
山东,2024,8,2024-08,餐饮,51,49,2,1,1,1,0.0392156862745098,1.0,基本完整
山东,2024,9,2024-09,流通,277,275,2,5,1,1,0.007220216606498195,0.2,基本完整
山东,2024,9,2024-09,生产,36,36,0,0,0,0,0.0,,基本完整
山东,2024,9,2024-09,餐饮,54,53,1,0,0,0,0.018518518518518517,,基本完整
山东,2024,10,2024-10,流通,289,288,1,1,1,1,0.0034602076124567475,1.0,基本完整
山东,2024,10,2024-10,生产,43,42,1,1,1,1,0.023255813953488372,1.0,基本完整
山东,2024,10,2024-10,餐饮,48,47,1,1,1,1,0.020833333333333332,1.0,基本完整
山东,2024,11,2024-11,流通,413,409,4,7,1,1,0.009685230024213076,0.14285714285714285,基本完整
山东,2024,11,2024-11,生产,23,20,3,3,3,3,0.13043478260869565,1.0,基本完整
山东,2024,11,2024-11,餐饮,103,99,4,4,4,4,0.038834951456310676,1.0,基本完整
山东,2024,12,2024-12,流通,455,455,0,2,0,0,0.0,0.0,基本完整
山东,2024,12,2024-12,生产,125,124,1,1,1,0,0.008,1.0,基本完整
山东,2024,12,2024-12,餐饮,83,81,2,1,1,1,0.024096385542168676,1.0,基本完整
山西,2023,1,2023-01,流通,14,14,0,0,0,0,0.0,,基本完整
山西,2023,1,2023-01,生产,1,0,1,0,0,0,1.0,,基本完整
山西,2023,1,2023-01,餐饮,79,79,0,0,0,0,0.0,,基本完整
山西,2023,2,2023-02,流通,1,1,0,0,0,0,0.0,,基本完整
山西,2023,2,2023-02,生产,3,3,0,0,0,0,0.0,,基本完整
山西,2023,2,2023-02,餐饮,10,10,0,0,0,0,0.0,,基本完整
山西,2023,3,2023-03,流通,3,3,0,0,0,0,0.0,,基本完整
山西,2023,3,2023-03,生产,3,3,0,0,0,0,0.0,,基本完整
山西,2023,3,2023-03,餐饮,7,7,0,0,0,0,0.0,,基本完整
山西,2023,4,2023-04,流通,4,4,0,0,0,0,0.0,,基本完整
山西,2023,4,2023-04,餐饮,5,5,0,0,0,0,0.0,,基本完整
山西,2023,5,2023-05,流通,1,1,0,0,0,0,0.0,,基本完整
山西,2023,5,2023-05,餐饮,14,14,0,0,0,0,0.0,,基本完整
山西,2023,6,2023-06,流通,2,2,0,0,0,0,0.0,,基本完整
山西,2023,6,2023-06,餐饮,11,11,0,0,0,0,0.0,,基本完整
山西,2023,7,2023-07,流通,4,4,0,0,0,0,0.0,,基本完整
山西,2023,7,2023-07,餐饮,9,9,0,0,0,0,0.0,,基本完整
山西,2023,8,2023-08,流通,2,2,0,0,0,0,0.0,,基本完整
山西,2023,8,2023-08,生产,2,2,0,0,0,0,0.0,,基本完整
山西,2023,8,2023-08,餐饮,19,17,2,2,2,2,0.10526315789473684,1.0,基本完整
山西,2023,9,2023-09,流通,5,5,0,0,0,0,0.0,,基本完整
山西,2023,9,2023-09,餐饮,21,21,0,0,0,0,0.0,,基本完整
