序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,污染物名称_标准化,是否AFB1相关,AFB1识别依据,原始检测数值,初检浓度值,复检浓度值,最终采用浓度值,浓度单位,检测单位是否推断,原始法规限制,法规限量_数值,法规限量_单位,法规限量_比较符号,法规限量_单位是否推断,是否超标,超标倍数,浓度清洗状态,检测数值解析失败原因,法规限量解析状态,法规限量解析失败原因,是否建议人工复核,复核原因
9,不详,2023,6,2023-06,流通,花生仁/炒货坚果,特大花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
10,不详,2023,6,2023-06,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
11,不详,2023,6,2023-06,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
12,不详,2023,6,2023-06,流通,花生仁/炒货坚果,红皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
13,不详,2023,6,2023-06,流通,花生仁/炒货坚果,白皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
10,不详,2023,6,2023-06,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
11,不详,2023,6,2023-06,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
12,不详,2023,6,2023-06,流通,花生仁/炒货坚果,红皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
13,不详,2023,6,2023-06,流通,花生仁/炒货坚果,大花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
14,不详,2023,6,2023-06,流通,花生仁/炒货坚果,大粒花生米(精选),黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
15,广东,2023,6,2023-06,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
16,广东,2023,6,2023-06,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
17,广东,2023,6,2023-06,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
112,不详,2023,6,2023-06,流通,花生仁/炒货坚果,白皮花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,55.5µg/kg,55.5,,55.5,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,2.775,已解析并统一单位,,已解析并统一单位,,False,
25,不详,2023,6,2023-06,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,90.7µg/kg,90.7,,90.7,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,4.535,已解析并统一单位,,已解析并统一单位,,False,
3,不详,2023,6,2023-06,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
4,不详,2023,6,2023-06,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
5,不详,2023,6,2023-06,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
120,不详,2023,6,2023-06,流通,花生仁/炒货坚果,散花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,72.1ug/kg,72.1,,72.1,μg/kg,False,≤20umg/kg,20.0,μg/kg,≤,True,True,3.6049999999999995,已解析并统一单位,,已解析并统一单位,,False,
8,不详,2023,7,2023-07,流通,花生仁/炒货坚果,红皮花生米（生干籽类）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
9,不详,2023,7,2023-07,流通,花生仁/炒货坚果,小花生米（生干籽类）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
10,不详,2023,7,2023-07,流通,花生仁/炒货坚果,红皮花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
11,不详,2023,7,2023-07,流通,花生仁/炒货坚果,大颗花生米（生干籽类）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
