序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,污染物名称_标准化,是否AFB1相关,AFB1识别依据,原始检测数值,初检浓度值,复检浓度值,最终采用浓度值,浓度单位,检测单位是否推断,原始法规限制,法规限量_数值,法规限量_单位,法规限量_比较符号,法规限量_单位是否推断,是否超标,超标倍数,浓度清洗状态,检测数值解析失败原因,法规限量解析状态,法规限量解析失败原因,是否建议人工复核,复核原因
35,山东,2024,11,2024-11,流通,花生仁/炒货坚果,小鱼花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
36,重庆,2024,11,2024-11,流通,花生仁/炒货坚果,泡椒花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
37,河南,2024,11,2024-11,流通,花生仁/炒货坚果,卤汁花生（五香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
38,安徽,2024,11,2024-11,流通,花生仁/炒货坚果,海苔味花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
39,河南,2024,11,2024-11,流通,花生仁/炒货坚果,鲜卤花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
40,山东,2024,11,2024-11,流通,花生仁/炒货坚果,嘎嘣豆（鱼皮花生）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
41,河南,2024,11,2024-11,流通,花生仁/炒货坚果,鲜卤花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
67,贵州,2024,11,2024-11,流通,花生仁/炒货坚果,花生米（山椒味）（其他炒货食品及坚果制品）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,43.5µg/kg,43.5,,43.5,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,2.175,已解析并统一单位,,已解析并统一单位,,False,
23,山东,2024,11,2024-11,流通,花生仁/炒货坚果,油炸花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
24,山东,2024,11,2024-11,流通,花生仁/炒货坚果,多味花生（烘炒类）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
25,江苏,2024,11,2024-11,流通,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
26,山东,2024,11,2024-11,流通,花生仁/炒货坚果,五香花生（烘炒类）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
27,安徽,2024,11,2024-11,流通,花生仁/炒货坚果,五香味花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
9,广东,2024,11,2024-11,生产,花生仁/炒货坚果,始兴柴火花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
30,不详,2024,11,2024-11,流通,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,388µg/kg,388.0,,388.0,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,19.4,已解析并统一单位,,已解析并统一单位,,False,
66,江西,2024,11,2024-11,流通,花生仁/炒货坚果,麻辣花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
67,安徽,2024,11,2024-11,流通,花生仁/炒货坚果,香辣味花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
68,河南,2024,11,2024-11,流通,花生仁/炒货坚果,水煮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
69,河南,2024,11,2024-11,流通,花生仁/炒货坚果,卤汁花生（五香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
70,江苏,2024,11,2024-11,流通,花生仁/炒货坚果,香脆花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
71,湖北,2024,11,2024-11,流通,花生仁/炒货坚果,脱油花生（五香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
72,安徽,2024,11,2024-11,流通,花生仁/炒货坚果,五香味花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
73,安徽,2024,11,2024-11,流通,花生仁/炒货坚果,怪味花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
74,江苏,2024,11,2024-11,流通,花生仁/炒货坚果,草本花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
75,江苏,2024,11,2024-11,流通,花生仁/炒货坚果,蜂蜜酥香花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
76,江苏,2024,11,2024-11,流通,花生仁/炒货坚果,卤汁花生（五香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
77,江苏,2024,11,2024-11,流通,花生仁/炒货坚果,香酥花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
68,河南,2024,11,2024-11,流通,花生仁/炒货坚果,脱油花生（五香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
112,浙江,2024,11,2024-11,生产,花生仁/炒货坚果,咸味花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,50.3µg/kg,50.3,,50.3,μg/kg,False,5µg/kg,5.0,μg/kg,≤,False,True,10.059999999999999,已解析并统一单位,,已解析并统一单位,,False,
27,安徽,2024,11,2024-11,流通,花生仁/炒货坚果,五香味花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
28,江苏,2024,11,2024-11,生产,花生仁/炒货坚果,卤味花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
29,江苏,2024,11,2024-11,生产,花生仁/炒货坚果,蒜香花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
30,河南,2024,11,2024-11,流通,花生仁/炒货坚果,卤汁花生（五香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
21,广东,2024,11,2024-11,生产,花生仁/炒货坚果,水煮咸干花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
22,广东,2024,11,2024-11,生产,花生仁/炒货坚果,咸香花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
61,河南,2024,12,2024-12,流通,花生仁/炒货坚果,卤味花生（水煮花生）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
62,安徽,2024,12,2024-12,流通,花生仁/炒货坚果,鱼皮花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
63,江苏,2024,12,2024-12,流通,花生仁/炒货坚果,蜂蜜酥香花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
64,山东,2024,12,2024-12,流通,花生仁/炒货坚果,五香味花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
65,安徽,2024,12,2024-12,流通,花生仁/炒货坚果,怪味花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
66,浙江,2024,12,2024-12,流通,花生仁/炒货坚果,花生（蒜香味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
67,江苏,2024,12,2024-12,流通,花生仁/炒货坚果,鱼皮花生（裹衣花生）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
33,广东,2024,12,2024-12,生产,花生仁/炒货坚果,沙炒花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
23,河北,2024,12,2024-12,流通,花生仁/炒货坚果,鱼皮花生（裹衣花生）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
24,湖南,2024,12,2024-12,流通,花生仁/炒货坚果,咸干花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
25,广东,2024,12,2024-12,流通,花生仁/炒货坚果,鱼皮花生（裹衣花生）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
26,山东,2024,12,2024-12,流通,花生仁/炒货坚果,黄飞红麻辣花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
79,江西,2024,12,2024-12,流通,花生仁/炒货坚果,椒盐味花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,45.9µg/kg,45.9,,45.9,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,2.295,已解析并统一单位,,已解析并统一单位,,False,
15,不详,2024,12,2024-12,流通,花生仁/炒货坚果,炒花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
16,广东,2024,12,2024-12,流通,花生仁/炒货坚果,忠信花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
17,湖南,2024,12,2024-12,流通,花生仁/炒货坚果,咸干花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
51,广东,2024,12,2024-12,生产,花生仁/炒货坚果,芥末小生花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
52,福建,2024,12,2024-12,流通,花生仁/炒货坚果,多味花生（香辣味）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
1,河南,2023,4,2023-04,餐饮,餐饮-->蔬菜,醋泡花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,44.4 µg/kg,44.4,,44.4,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.2199999999999998,已解析并统一单位,,已解析并统一单位,,False,
1,河南,2023,4,2023-04,餐饮,餐饮-->蔬菜,醋泡花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,44.4 µg/kg,44.4,,44.4,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.2199999999999998,已解析并统一单位,,已解析并统一单位,,False,
1,不详,2023,12,2023-12,餐饮,花生油/油脂,花生油,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,25.3 µg/kg,25.3,,25.3,μg/kg,False,≤20 µg/kg,20.0,μg/kg,≤,False,True,1.2650000000000001,已解析并统一单位,,已解析并统一单位,,False,
2,不详,2023,12,2023-12,餐饮,花生油/油脂,花生油,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,26.1 µg/kg,26.1,,26.1,μg/kg,False,≤20 µg/kg,20.0,μg/kg,≤,False,True,1.3050000000000002,已解析并统一单位,,已解析并统一单位,,False,
1,广东,2024,7,2024-07,餐饮,花生油/油脂,花生油,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
86,河南,2023,1,2023-01,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,53.6μg/kg,53.6,,53.6,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.68,已解析并统一单位,,已解析并统一单位,,False,
87,河南,2023,1,2023-01,餐饮,餐饮-->其他餐饮环节产品,水煮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,39.5μg/kg,39.5,,39.5,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,1.975,已解析并统一单位,,已解析并统一单位,,False,
88,河南,2023,1,2023-01,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,304μg/kg|90.0μg/kg,304.0,,304.0,μg/kg,False,≤20μg/kg|≤20μg/kg,20.0,μg/kg,≤,False,True,15.2,已解析并统一单位,,已解析并统一单位,,False,
89,河南,2023,1,2023-01,餐饮,餐饮-->其他餐饮环节产品,水煮花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,122μg/kg,122.0,,122.0,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,6.1,已解析并统一单位,,已解析并统一单位,,False,
71,河南,2023,2,2023-02,餐饮,餐饮-->其他餐饮环节产品,水煮花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,45.7μg/kg,45.7,,45.7,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.285,已解析并统一单位,,已解析并统一单位,,False,
72,河南,2023,2,2023-02,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,46.4μg/kg,46.4,,46.4,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.32,已解析并统一单位,,已解析并统一单位,,False,
73,河南,2023,2,2023-02,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,45.6μg/kg,45.6,,45.6,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.2800000000000002,已解析并统一单位,,已解析并统一单位,,False,
74,河南,2023,2,2023-02,餐饮,餐饮-->其他餐饮环节产品,水煮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,44.7μg/kg,44.7,,44.7,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.2350000000000003,已解析并统一单位,,已解析并统一单位,,False,
23,河南,2023,3,2023-03,餐饮,花生仁/炒货坚果,油炸花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,31.9μg/kg,31.9,,31.9,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,1.595,已解析并统一单位,,已解析并统一单位,,False,
24,河南,2023,3,2023-03,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,33.6μg/kg,33.6,,33.6,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,1.6800000000000002,已解析并统一单位,,已解析并统一单位,,False,
25,河南,2023,3,2023-03,餐饮,餐饮-->其他餐饮环节产品,水煮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,55.0μg/kg,55.0,,55.0,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.75,已解析并统一单位,,已解析并统一单位,,False,
26,河南,2023,3,2023-03,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,47.6μg/kg,47.6,,47.6,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.38,已解析并统一单位,,已解析并统一单位,,False,
27,河南,2023,3,2023-03,餐饮,餐饮-->其他餐饮环节产品,水煮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,103μg/kg,103.0,,103.0,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,5.15,已解析并统一单位,,已解析并统一单位,,False,
16,河南,2023,4,2023-04,餐饮,餐饮-->其他餐饮环节产品,水煮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,43.2 µg/kg,43.2,,43.2,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.16,已解析并统一单位,,已解析并统一单位,,False,
17,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,83.6 µg/kg,83.6,,83.6,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,4.18,已解析并统一单位,,已解析并统一单位,,False,
18,河南,2023,4,2023-04,餐饮,餐饮-->其他餐饮环节产品,炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,57.4 µg/kg,57.4,,57.4,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.87,已解析并统一单位,,已解析并统一单位,,False,
19,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,45.8 µg/kg,45.8,,45.8,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.29,已解析并统一单位,,已解析并统一单位,,False,
20,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,32.0 µg/kg,32.0,,32.0,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,1.6,已解析并统一单位,,已解析并统一单位,,False,
21,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,67.4 µg/kg,67.4,,67.4,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,3.37,已解析并统一单位,,已解析并统一单位,,False,
22,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,39.9 µg/kg,39.9,,39.9,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,1.9949999999999999,已解析并统一单位,,已解析并统一单位,,False,
23,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,37.2 µg/kg,37.2,,37.2,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,1.86,已解析并统一单位,,已解析并统一单位,,False,
24,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,56.7 µg/kg,56.7,,56.7,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.835,已解析并统一单位,,已解析并统一单位,,False,
25,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,40.2 µg/kg,40.2,,40.2,μg/kg,False,20 µg/kg,20.0,μg/kg,≤,False,True,2.0100000000000002,已解析并统一单位,,已解析并统一单位,,False,
26,河南,2023,4,2023-04,餐饮,餐饮-->其他餐饮环节产品,水煮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,57.4µg/kg,57.4,,57.4,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,2.87,已解析并统一单位,,已解析并统一单位,,False,
27,河南,2023,4,2023-04,餐饮,花生仁/炒货坚果,油炸花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,55.8µg/kg,55.8,,55.8,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,2.79,已解析并统一单位,,已解析并统一单位,,False,
