省份,年份,月份,年月,供应链环节,样本量,均值,中位数,P75,P90,P95,最大值,lognormal_mu,lognormal_sigma,是否适合MonteCarlo模拟
广东,2024,10,2024-10,餐饮,1,30.5,30.5,30.5,30.5,30.5,30.5,,,不适合/样本不足
广东,2024,12,2024-12,生产,1,44.0,44.0,44.0,44.0,44.0,44.0,,,不适合/样本不足
广西,2023,3,2023-03,生产,5,63.08,28.8,79.6,140.44,160.71999999999997,181.0,3.514878951371333,1.3717334739505105,可探索但样本偏少
广西,2023,4,2023-04,生产,5,42.46,34.2,46.0,59.32000000000001,63.76,68.2,3.7015848002911262,0.33094481059893577,可探索但样本偏少
广西,2023,5,2023-05,生产,3,39.83,31.9,45.045,52.932,55.56099999999999,58.19,3.635771400934671,0.3728484204288151,可探索但样本偏少
广西,2023,6,2023-06,生产,1,27.3,27.3,27.3,27.3,27.3,27.3,,,不适合/样本不足
广西,2023,7,2023-07,生产,3,32.56666666666667,33.0,34.35,35.160000000000004,35.43,35.7,3.4796513600795156,0.10494764992842319,可探索但样本偏少
广西,2023,8,2023-08,流通,1,27.3,27.3,27.3,27.3,27.3,27.3,,,不适合/样本不足
广西,2023,8,2023-08,生产,4,26.1,25.9,26.45,26.9,27.049999999999997,27.2,3.2615794773947524,0.030722028132119966,可探索但样本偏少
广西,2023,9,2023-09,流通,5,47.42,40.5,56.7,69.84,74.22,78.6,3.7874811824123578,0.4183530455138253,可探索但样本偏少
广西,2023,9,2023-09,生产,1,46.0,46.0,46.0,46.0,46.0,46.0,,,不适合/样本不足
广西,2023,10,2023-10,流通,5,32.96,32.0,37.5,39.9,40.7,41.5,3.4798690893005797,0.19596281378934327,可探索但样本偏少
广西,2023,10,2023-10,生产,4,36.175,31.05,37.15,46.42,49.50999999999999,52.6,3.5585436439900944,0.2710769897033472,可探索但样本偏少
广西,2023,11,2023-11,生产,4,110.3,97.3,132.0,173.4,187.19999999999996,201.0,4.566061447489064,0.6135996014634956,可探索但样本偏少
广西,2023,12,2023-12,流通,7,94.64285714285714,53.8,123.35,200.60000000000002,215.29999999999995,230.0,4.305675868928004,0.715772635889379,可探索但样本偏少
广西,2023,12,2023-12,生产,18,73.47222222222223,65.35,92.27499999999999,119.3,122.24999999999997,135.0,4.208974852002576,0.4361961228990499,较适合
广西,2023,12,2023-12,餐饮,1,177.0,177.0,177.0,177.0,177.0,177.0,,,不适合/样本不足
广西,2024,2,2024-02,生产,2,33.9,33.9,37.75,40.06,40.83,41.6,3.4969297890171345,0.3269242841401862,不适合/样本不足
广西,2024,3,2024-03,生产,2,33.75,33.75,36.325,37.87,38.385,38.9,3.5072004842251037,0.21749723025032508,不适合/样本不足
广西,2024,4,2024-04,其他,1,54.8,54.8,54.8,54.8,54.8,54.8,,,不适合/样本不足
广西,2024,4,2024-04,生产,1,46.1,46.1,46.1,46.1,46.1,46.1,,,不适合/样本不足
广西,2024,5,2024-05,流通,1,31.4,31.4,31.4,31.4,31.4,31.4,,,不适合/样本不足
广西,2024,5,2024-05,生产,9,97.7,61.6,81.4,155.72000000000008,300.3599999999999,445.0,4.154394673718873,0.8401369116528848,可探索但样本偏少
广西,2024,6,2024-06,流通,9,38.63333333333333,32.0,42.1,71.38000000000001,76.14,80.9,3.4601184693054297,0.7377629881735082,可探索但样本偏少
广西,2024,6,2024-06,生产,6,51.35,42.900000000000006,59.7,80.15,87.875,95.6,3.8501768288992935,0.4493666039568174,可探索但样本偏少
广西,2024,7,2024-07,生产,2,72.05,72.05,78.025,81.61,82.80499999999999,84.0,4.263413320192237,0.23674426989678635,不适合/样本不足
广西,2024,8,2024-08,生产,4,36.325,34.4,39.875,44.15,45.574999999999996,47.0,3.575624223894576,0.20954907760211391,可探索但样本偏少
广西,2024,9,2024-09,流通,1,38.8,38.8,38.8,38.8,38.8,38.8,,,不适合/样本不足
广西,2024,9,2024-09,生产,21,46.8,37.2,56.7,68.6,81.0,96.0,3.7763864731403447,0.3707249270862608,较适合
广西,2024,10,2024-10,流通,1,50.2,50.2,50.2,50.2,50.2,50.2,,,不适合/样本不足
广西,2024,10,2024-10,生产,22,33.28636363636363,31.200000000000003,36.5,47.86000000000001,63.87499999999999,74.8,3.3881404083736104,0.5738579808379762,较适合
广西,2024,11,2024-11,生产,9,56.8,37.2,55.9,96.00000000000001,125.99999999999997,156.0,3.8746005486591546,0.5647613734750695,可探索但样本偏少
广西,2024,12,2024-12,生产,3,45.06666666666666,42.6,53.3,59.72,61.86,64.0,3.754714684820268,0.40274580123184206,可探索但样本偏少
新疆,2024,12,2024-12,餐饮,1,29.5,29.5,29.5,29.5,29.5,29.5,,,不适合/样本不足
江苏,2023,7,2023-07,流通,1,30.7,30.7,30.7,30.7,30.7,30.7,,,不适合/样本不足
江苏,2023,12,2023-12,流通,2,14.950000000000001,14.950000000000001,22.025000000000002,26.270000000000003,27.685,29.1,1.5737973114316186,2.5412581388775606,不适合/样本不足
江苏,2023,12,2023-12,餐饮,1,53.0,53.0,53.0,53.0,53.0,53.0,,,不适合/样本不足
江苏,2024,6,2024-06,流通,2,53.8,53.8,53.85,53.88,53.89,53.9,3.985271739714885,0.002628652771434436,不适合/样本不足
