省份,年份,月份,年月,供应链环节,抽检总批次数,AFB1相关记录数,浓度可用记录数,总体不合格_后验均值,AFB1条件不合格_后验均值,EDI均值,EDI_P95,MOE_default_均值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy,dqn_risk_proxy,dqn_uncertainty_proxy,dqn_coverage_gap_proxy,Q_action_0,Q_action_1,Q_action_2,recommended_action,recommended_action_name,recommended_inspection_units
内蒙古,2024,2,2024-02,流通,3,1,1,0.051569233453832,0.6666666666666666,0.0098699999999999,0.0098699999999999,10.638297872340427,1.0,23880000.0,0.9966334500403986,0.9274018379281538,0.7046783625730995,0.0,1.2619060777737314,1.8291935548481955,2.173334900857106,2,重点专项抽检,2
四川,2024,6,2024-06,生产,17,1,1,0.0438178168990837,0.6666666666666666,0.00191165,0.00191165,54.92637250542724,1.0,83640000.0,0.9826182365489154,0.9266499582289056,0.7210526315789474,0.0,1.0374125692649288,1.506891813604692,1.818381538494425,2,重点专项抽检,2
北京,2024,8,2024-08,餐饮,13,1,1,0.0457554312232614,0.6666666666666666,0.0098933333333333,0.0098933333333333,10.61320754716981,1.0,21830000.0,0.9966413900167184,0.9260651629072681,0.6953216374269006,0.0,1.1030096614679001,1.6891703825104338,2.038541996590151,2,重点专项抽检,2
海南,2024,5,2024-05,生产,1,1,1,0.0836820083682008,0.6666666666666666,0.0017994999999999,0.0017994999999999,58.34954153931648,1.0,10480000.0,0.9815349552090772,0.9259816207184628,0.8350877192982457,0.3068528194400547,2.290959981312133,2.889739869715334,3.292196623729202,2,重点专项抽检,2
甘肃,2024,12,2024-12,餐饮,2,1,1,0.2260052408209054,0.8219769460145089,8.700000000000001e-05,8.700000000000001e-05,1206.8965517241377,1.0,24580000.0,0.6180707114797033,0.9241436925647452,0.9076023391812865,0.0,3.4013838443940485,4.036883355214348,4.291398728068903,2,重点专项抽检,2
河南,2023,7,2023-07,餐饮,61,1,1,0.1086387290289892,0.974246233987763,0.00349635,0.00349635,30.03131837487665,1.0,98150000.0,0.9904964182357984,0.9224728487886382,0.5900584795321637,0.0,2.685452582717376,3.1873962939088916,3.271425126477557,2,重点专项抽检,2
山东,2023,11,2023-11,生产,84,6,5,0.0563273234691889,0.7360317434140392,0.0063511999999999,0.0109511499999999,22.44418837058094,1.0,101230000.0,0.992897408743487,0.9223057644110276,0.5339181286549708,0.0,1.5922183309895945,2.099559741376437,2.2397942268067825,2,重点专项抽检,2
浙江,2024,4,2024-04,生产,15,1,1,0.034705847770072,0.6666666666666666,0.0035346,0.0035346,29.70633169241215,1.0,66700000.0,0.9905992621226544,0.92046783625731,0.6175438596491228,0.0,0.8395778973809586,1.337560865332283,1.6738644200722859,2,重点专项抽检,2
河南,2023,10,2023-10,餐饮,57,3,3,0.0799109544148361,0.9733521627401038,0.0152533333333333,0.01975545,7.254654583006478,1.0,98150000.0,0.9977042232332256,0.9194653299916459,0.5035087719298246,0.0,2.8145534736232927,3.270202659621698,3.3341783196581867,2,重点专项抽检,2
安徽,2023,5,2023-05,餐饮,16,1,1,0.0295492147250016,0.6666666666666666,0.0029119999999999,0.0029119999999999,36.05769230769232,1.0,61210000.0,0.9885893378773124,0.9182121971595656,0.6415204678362573,0.0,0.8586743715646199,1.3498149211805968,1.666654089764041,2,重点专项抽检,2
浙江,2023,6,2023-06,餐饮,19,1,1,0.0191947117225574,0.6666666666666666,0.0144306666666666,0.0144306666666666,7.276171117065508,1.0,66270000.0,0.9976974142034604,0.9152046783625731,0.5222222222222223,0.0,0.7536472950281828,1.2213617253022528,1.5343600720220958,2,重点专项抽检,2
浙江,2023,12,2023-12,餐饮,6,1,1,0.0243682931220105,0.7802003673531867,0.0473106666666666,0.0473106666666666,2.219372657328861,1.0,66270000.0,0.9992976668805922,0.9151211361737677,0.5099415204678363,0.0,1.0401647862343937,1.4005077623873115,1.8409976161086403,2,重点专项抽检,2
广东,2023,3,2023-03,生产,10,1,1,0.0211942987336406,0.5124919923126201,0.0021675,0.0021675,48.442906574394456,1.0,127060000.0,0.984669966273926,0.9147034252297411,0.5549707602339181,0.0,0.5879074617042999,0.9521803441939017,1.4859819488669037,2,重点专项抽检,2
河北,2024,6,2024-06,生产,18,1,1,0.03856472503037,0.6666666666666666,0.0014776666666666,0.0014776666666666,71.05797428378074,1.0,73780000.0,0.9775132992772846,0.9142021720969089,0.6654970760233918,0.0,0.9200603651975697,1.408154541362957,1.717038016418422,2,重点专项抽检,2
河南,2023,1,2023-01,流通,128,2,1,0.0307692307692307,0.5,0.0023595,0.0023595,44.50095359186268,1.0,98150000.0,0.9859174197494106,0.9121971595655806,0.5625730994152047,0.0,0.7780218274833015,0.989317206350698,1.4035802852168218,2,重点专项抽检,2
广西,2023,3,2023-03,生产,51,5,5,0.0804154799798961,0.8571428571428571,0.0014508399999999,0.0036965599999999,277.82533960056355,1.0,50270000.0,0.9120805887339988,0.9086883876357561,0.7339181286549707,0.0,2.3042007297403106,2.8584630602730936,2.8938009250210834,2,重点专项抽检,2
山东,2024,6,2024-06,生产,26,1,1,0.0354900912876742,0.7466843958980593,0.0046855666666666,0.0046855666666666,22.40924256760121,1.0,100800000.0,0.9929084675418984,0.906265664160401,0.4327485380116959,0.0,1.2223610204919235,1.6235640852774034,1.989778650771513,2,重点专项抽检,2
浙江,2024,5,2024-05,餐饮,11,1,1,0.0255999706378335,0.8030202363701014,0.0042196,0.0042196,24.88387524883875,1.0,66700000.0,0.9921253559339118,0.906265664160401,0.5017543859649123,0.0,1.2599389480810737,1.6947279839645857,1.980848700321327,2,重点专项抽检,2
江西,2023,11,2023-11,生产,16,1,1,0.0372024221677845,0.6666666666666666,0.0018757999999999,0.0018757999999999,55.97611685680777,1.0,45150000.0,0.9822860389693646,0.9050960735171262,0.6514619883040935,0.0,0.8935142306437333,1.3869743473836174,1.7032633636940373,2,重点专项抽检,2
山东,2023,9,2023-09,生产,37,6,3,0.0516961900930111,0.5401419991155872,0.0017097388888888,0.0030020316666666,163.7365912800258,1.0,101230000.0,0.9481846230126502,0.9047619047619048,0.5865497076023392,0.0,0.6520439291642511,1.0094897519341741,1.3687407707841905,2,重点专项抽检,2
江西,2024,12,2024-12,生产,5,1,1,0.0344978328337369,0.7245368328354442,0.0024408,0.0024408,43.018682399213375,1.0,45020000.0,0.9863864929116412,0.9046783625730994,0.6192982456140351,0.0,1.0586470232422949,1.592270139837665,1.9525996877198377,2,重点专项抽检,2
河南,2023,9,2023-09,餐饮,45,1,1,0.0835841650996565,0.9724049767695954,0.00222365,0.00222365,47.21966136757133,1.0,98150000.0,0.9850570691874774,0.9046783625730993,0.52046783625731,0.0,2.499827568085464,2.972229720752296,3.119296196901548,2,重点专项抽检,2
河南,2023,12,2023-12,餐饮,67,3,3,0.0618125148661901,0.9749452955902452,0.0146289,0.0291434,13.124234639446408,1.0,98150000.0,0.9958467611900488,0.9043441938178781,0.41403508771929826,0.0,2.7962313943474832,3.2419861372120105,3.3251528910172343,2,重点专项抽检,2
广西,2023,12,2023-12,餐饮,20,1,1,0.0226476323825024,0.6666666666666666,0.004071,0.004071,25.79218865143699,1.0,50270000.0,0.9918379149837224,0.9040100250626566,0.5245614035087719,0.0,0.7671304241897612,1.2595446225541715,1.5797220880552771,2,重点专项抽检,2
浙江,2023,8,2023-08,餐饮,22,1,1,0.0234391433908463,0.74375400384369,0.0025116666666666,0.0025116666666666,41.8049104180491,1.0,66270000.0,0.9867705979689718,0.9010025062656642,0.5257309941520468,0.0,1.0839753149735067,1.5432202280820562,1.7974867375954815,2,重点专项抽检,2
河南,2023,11,2023-11,餐饮,161,3,3,0.0637171198393492,0.9741936633901952,0.0037799666666666,0.00391391,27.802745701557285,1.0,98150000.0,0.9912016627526716,0.9006683375104428,0.42923976608187137,0.0,3.0973509555725074,3.46635875364659,3.577421356941466,2,重点专项抽检,2
河南,2024,6,2024-06,餐饮,54,5,5,0.057318380987269,0.9726656774872232,0.00920348,0.0155155,18.52564537380138,1.0,97850000.0,0.9941374539956324,0.9,0.404093567251462,0.0,2.7993910545442904,3.1824928852587346,3.193742788547274,2,重点专项抽检,2
河南,2024,8,2024-08,餐饮,27,1,1,0.0525435582468527,0.9730182569507722,0.032318,0.032318,3.2489634259545763,1.0,97850000.0,0.998971847017103,0.8993316624895572,0.3654970760233918,0.0,2.311001432207543,2.675265581835987,2.932294784251888,2,重点专项抽检,2
安徽,2024,12,2024-12,餐饮,18,1,1,0.0171518719431919,0.7465886842383365,0.005512,0.005512,19.049346879535555,1.0,61230000.0,0.993971725671033,0.8967418546365914,0.4269005847953216,0.0,1.0207048952360147,1.4834880839834959,1.7460367009083297,2,重点专项抽检,2
贵州,2023,10,2023-10,餐饮,58,4,4,0.0325261048056545,0.8333333333333334,0.0036945333333333,0.0065148416666666,36.00113824772099,1.0,38650000.0,0.9886072347317338,0.8958228905597326,0.5432748538011696,0.0,1.924856580187087,2.488330310755797,2.5848393659516025,2,重点专项抽检,2
四川,2024,3,2024-03,餐饮,5,1,1,0.0222437901185499,0.8123360905510209,0.003757,0.003757,27.9478307159968,1.0,83640000.0,0.9911557497734188,0.8947368421052632,0.42046783625730993,0.0,1.2332520377284597,1.608381355623821,1.9519079971194544,2,重点专项抽检,2
河南,2024,7,2024-07,餐饮,105,3,2,0.0531016192404253,0.9735832985885732,0.005759325,0.0066570075,18.79501879501879,1.0,97850000.0,0.9940522092420826,0.894235588972431,0.3649122807017544,0.0,2.6870680293298683,3.0534174476651716,3.2854183280525815,2,重点专项抽检,2
河南,2024,3,2024-03,餐饮,27,2,2,0.0582732171672095,0.9726067701636818,0.00363935,0.00464321,31.842319004984876,1.0,97850000.0,0.9899233167705744,0.8940685045948203,0.4105263157894737,0.0,2.5198999840561673,2.9102863310379345,3.0598809324765344,2,重点专项抽检,2
山东,2024,10,2024-10,生产,43,1,1,0.029825008309697,0.7618541994489465,0.0037359999999999,0.0037359999999999,28.104925053533197,1.0,100800000.0,0.991106036375464,0.8937343358395989,0.3684210526315789,0.0,1.3682433037154906,1.765195190268734,2.13426026513767,2,重点专项抽检,2
山东,2024,11,2024-11,生产,23,3,3,0.0356960394501603,0.813866232467588,0.0027371388888888,0.0031141116666666,39.84864617427986,1.0,100800000.0,0.98738966893219,0.8932330827067669,0.40350877192982454,0.0,1.74551207199991,2.1201266705652526,2.365062007096247,2,重点专项抽检,2
四川,2024,1,2024-01,餐饮,37,1,1,0.0179061087196895,0.7816712780145032,0.0068141666666666,0.0068141666666666,15.409074232603643,1.0,83640000.0,0.995123710685885,0.8923976608187134,0.36666666666666664,0.0,1.3255727084698814,1.746301604618285,2.0741262050335907,2,重点专项抽检,2
四川,2023,12,2023-12,餐饮,75,1,1,0.0160548284163879,0.7270310577898573,0.005525,0.005525,19.004524886877824,1.0,83680000.0,0.9939859098459248,0.8921470342522975,0.3672514619883041,0.0,1.2431094039494144,1.7147187682455958,1.9945807875297787,2,重点专项抽检,2
安徽,2024,1,2024-01,餐饮,7,1,1,0.0234780426576035,0.7270310577898573,0.0012012,0.0012012,87.41258741258741,1.0,61230000.0,0.972337788793485,0.8918964076858814,0.5415204678362573,0.0,0.9638105859553184,1.3811225215916036,1.7574832860397605,2,重点专项抽检,2
四川,2024,5,2024-05,流通,19,1,1,0.0256661507941678,0.52997246875833,0.0044936666666666,0.0044936666666666,23.36621912321044,1.0,83640000.0,0.9926056268597436,0.891060985797828,0.38187134502923975,0.0,0.5849488433653333,0.9877523256019499,1.3705363383401163,2,重点专项抽检,2
湖北,2024,12,2024-12,餐饮,49,2,2,0.0261730720801024,0.8986110443773692,0.0168455833333333,0.0188690083333333,6.346126148931155,1.0,58340000.0,0.997991732231351,0.8900584795321638,0.36140350877192984,0.0,2.0514499457529207,2.528137020530237,2.614776089462,2,重点专项抽检,2
