省份,年月,供应链环节,Q_action_0,Q_action_1,Q_action_3,Q_action_5,Q_action_10,experimental_label
不详,2023-08,生产,0.3678106,0.3789726,0.2939658,0.15435399,-0.24153791,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-09,生产,0.29910457,0.21921982,0.05379957,-0.1256903,-0.59427726,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-10,生产,0.32210493,0.37895066,0.35693473,0.25230986,-0.095731586,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-11,生产,0.48699725,0.5476374,0.53278553,0.44356394,0.08719379,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-12,生产,0.5406607,0.6370107,0.65993136,0.59640926,0.26607627,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-01,生产,0.3368765,0.26318777,0.104220666,-0.071745075,-0.53788453,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-02,生产,0.37080583,0.29600054,0.13683394,-0.039277397,-0.5070201,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-03,生产,0.2848629,0.21303995,0.05538848,-0.12141002,-0.5829412,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-06,生产,0.30677372,0.23463187,0.07710337,-0.09934186,-0.56194997,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-07,生产,0.31634948,0.24373947,0.08588541,-0.09053806,-0.5539942,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-09,生产,0.31854528,0.24567953,0.08757966,-0.08889868,-0.5527196,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-11,生产,0.3320082,0.2568575,0.096423306,-0.08068073,-0.54756105,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-12,生产,0.32421574,0.24875548,0.087789625,-0.08961068,-0.5565934,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-01,餐饮,0.31262743,0.22358754,0.020420834,-0.15150167,-0.64694,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-02,餐饮,0.2865903,0.20615484,-0.005858451,-0.17454907,-0.6684397,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-03,餐饮,0.32690343,0.2491416,0.027431801,-0.13895708,-0.635171,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-04,餐饮,0.35804173,0.28270158,0.056937218,-0.11001354,-0.60707897,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-05,餐饮,0.34745732,0.26894662,0.044489846,-0.12319841,-0.62158775,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-06,餐饮,0.29542303,0.21793075,-0.0080758035,-0.17403816,-0.6719815,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-07,餐饮,0.32550246,0.33522815,0.26483893,0.13221046,-0.25536,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-08,餐饮,0.30022186,0.20648873,0.022171542,-0.1537822,-0.6442769,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-09,餐饮,0.29636613,0.19444421,0.005018398,-0.17245275,-0.6702348,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-10,餐饮,0.32325605,0.33734342,0.27139375,0.14120366,-0.2425731,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-11,餐饮,0.46820542,0.4955883,0.44485474,0.33457956,-0.07595056,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-12,餐饮,0.5264679,0.5584609,0.5130921,0.4103803,-0.011446357,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-01,餐饮,0.31775692,0.34252155,0.2874395,0.16321845,-0.21127152,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-02,餐饮,0.35259074,0.39843652,0.34774452,0.22704434,-0.13926831,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-03,餐饮,0.27863756,0.19946495,-0.003812611,-0.16966161,-0.65770406,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-04,餐饮,0.31524593,0.34488598,0.29476625,0.17327078,-0.19697872,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-05,餐饮,0.3220451,0.3384837,0.27492714,0.1460515,-0.23568022,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-06,餐饮,0.3177427,0.34253496,0.28748095,0.16327536,-0.21119063,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-07,餐饮,0.3139071,0.34614667,0.29867285,0.17863066,-0.18935782,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-08,餐饮,0.31866416,0.3416673,0.28479227,0.15958647,-0.21643564,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-09,餐饮,0.3273892,0.33345154,0.2593337,0.124657236,-0.26609945,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-10,餐饮,0.3191289,0.34122968,0.2834362,0.15772595,-0.21908101,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-11,餐饮,0.32054487,0.33989635,0.2793046,0.15205736,-0.22714084,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-12,餐饮,0.31036437,0.3494826,0.30901,0.19281323,-0.16919243,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-01,流通,0.31747514,0.28410423,0.14440414,0.0020131413,-0.4359231,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-02,流通,0.33029252,0.24110273,0.10042551,-0.054128684,-0.52106273,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-03,流通,0.30893236,0.19995907,0.029801875,-0.13815317,-0.62801564,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-04,流通,0.34296697,0.24389994,0.065080166,-0.10349757,-0.5890529,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
