episode,total_reward,moving_average_reward,mean_loss,epsilon,mean_action,constraint_violation_rate,device,gpu,elapsed_seconds
27,496.48379099905833,490.6273170782977,0.055044717258877225,0.6834027206579931,3.2982456140350878,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.606
28,493.8031752527917,490.1176522006942,0.052930449032121234,0.6738350825687812,3.3818713450292397,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.737
29,489.72007709096397,489.5474134616017,0.05358172063198355,0.6644013914128183,3.165497076023392,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,3.868
30,494.6863904824495,489.12225043610204,0.049251284864213735,0.6550997719330388,4.13625730994152,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.0
31,482.89871639824014,489.6719391918091,0.07992751399676006,0.6459283751259762,2.8719298245614033,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.131
32,498.5440803514739,490.4455223292601,0.07608947799437576,0.6368853778742125,3.616374269005848,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.263
33,493.12879886191513,490.64211519673216,0.07143944377700488,0.6279689825839735,3.511111111111111,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.393
34,499.30366506494465,491.6025119118438,0.06941797708471616,0.6191774168277978,3.553216374269006,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.52
35,497.9644549376102,491.7070137026779,0.0691371001303196,0.6105089329922087,3.590643274853801,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.653
36,488.85848283956693,491.43773900393546,0.0747401484598716,0.6019618079303177,3.3116959064327487,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.785
37,491.9337466150067,491.32586676817493,0.06942561061845885,0.5935343426192933,3.2485380116959064,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,4.919
38,496.020681321912,491.88878095851385,0.07418648815817303,0.5852248618226231,3.3625730994152048,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.051
39,489.59425867889183,491.9636367028703,0.06754415151145723,0.5770317137571064,3.2362573099415206,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.182
40,487.8533110963639,491.8863068783891,0.06025089447697004,0.5689532697645069,3.2801169590643275,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.313
