省份,年份,月份,年月,供应链环节,抽检总批次数,AFB1相关记录数,浓度可用记录数,总体不合格_后验均值,AFB1条件不合格_后验均值,EDI均值,EDI_P95,MOE_default_均值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy,dqn_risk_proxy,dqn_uncertainty_proxy,dqn_coverage_gap_proxy,Q_action_0,Q_action_1,Q_action_2,recommended_action,recommended_action_name,recommended_inspection_units
安徽,2024,8,2024-08,流通,158,2,0,0.0080408418264881,0.2602411598401756,,,,,0.0,0.0,0.25956558061821217,0.03976608187134503,0.0,0.7054271864222618,0.6357414310544381,-0.581116124593224,0,维持/不加码,0
安徽,2024,9,2024-09,流通,153,0,0,0.0079308728424403,0.2614104643015202,,,,,0.0,0.0,0.25914786967418546,0.03684210526315789,0.0,0.6525647263105901,0.6170039524739074,-0.5842574134688744,0,维持/不加码,0
安徽,2024,10,2024-10,流通,120,0,0,0.0073950049021286,0.2626290524102839,,,,,0.0,0.0,0.25856307435254805,0.03274853801169591,0.0,0.6188168944932431,0.5859160525902755,-0.6124799300047564,0,维持/不加码,0
安徽,2024,11,2024-11,流通,236,11,0,0.0064713145604604,0.166158973650439,,,,,0.0,0.0,0.2575605680868839,0.025730994152046785,0.0,0.8665618183213872,0.9036801550857768,-0.37310746897482583,1,常规加密抽检,1
安徽,2024,12,2024-12,流通,249,2,0,0.0056877135375428,0.1562981195651168,,,,,0.0,0.0,0.2567251461988304,0.019883040935672516,0.0,0.8065606213171651,0.7080372000701269,-0.6302053153591792,0,维持/不加码,0
安徽,2023,1,2023-01,生产,1,0,0,0.3333333333333333,0.5,,,,,0.0,0.0,0.39557226399331663,0.991812865497076,0.3068528194400547,0.8535117258293617,1.039199005213665,1.0369628048992694,1,常规加密抽检,1
安徽,2023,2,2023-02,生产,1,0,0,0.2531645569620253,0.5,,,,,0.0,0.0,0.393734335839599,0.9789473684210527,0.3068528194400547,0.8390859258333923,1.0143777417460038,0.9736888644288973,1,常规加密抽检,1
安徽,2023,3,2023-03,生产,3,0,0,0.1459321415541773,0.5,,,,,0.0,0.0,0.3878863826232247,0.9380116959064327,0.0,0.8041403128596528,1.0230281928907379,0.4915295972871746,1,常规加密抽检,1
安徽,2023,4,2023-04,生产,21,0,0,0.0362189252939392,0.5,,,,,0.0,0.0,0.3613199665831245,0.752046783625731,0.0,0.7590414790500545,0.9118126334625436,0.28502644218570894,1,常规加密抽检,1
安徽,2023,5,2023-05,生产,11,0,0,0.0267885501048855,0.5,,,,,0.0,0.0,0.353968253968254,0.7005847953216374,0.0,0.7205357162302474,0.8373748923651209,0.12936285037322376,1,常规加密抽检,1
安徽,2023,6,2023-06,生产,12,0,0,0.0210247849428952,0.5,,,,,0.0,0.0,0.3456140350877193,0.6421052631578947,0.0,0.6988658439376595,0.8035988322963262,0.05466145612547435,1,常规加密抽检,1
安徽,2023,7,2023-07,生产,10,0,0,0.0180881653644474,0.5,,,,,0.0,0.0,0.34035087719298246,0.6052631578947368,0.0,0.6740403268079093,0.7806193096103683,-0.002997935603892221,1,常规加密抽检,1
安徽,2023,8,2023-08,生产,8,0,0,0.0164960621241846,0.5,,,,,0.0,0.0,0.3372598162071846,0.583625730994152,0.0,0.6595028351373177,0.7646439454378675,-0.0400150521704735,1,常规加密抽检,1
