序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,AFB1浓度_μg_kg_food,消费量_g_day,消费量_kg_day,消费量匹配方式,消费量匹配置信度,是否建议人工复核_消费量,消费量复核原因,体重_kg_bw,EDI_μg_kg_bw_day,MOE_low_bmdl,MOE_sensitive_bmdl,MOE_default_bmdl,MOE_high_bmdl,MOE_upper_bmdl,MOE_cutoff,是否低于MOE阈值,MOE风险等级,MOE风险惩罚项
83,不详,2023,8,2023-08,流通,花生仁/炒货坚果,生花生米,186.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0066029999999999995,7.572315614114797,9.995456610631532,15.901862789641072,23.92851734060276,28.623353021353932,3160.0,True,低于阈值/需关注,0.994967764939987
99,不详,2023,8,2023-08,流通,花生仁/炒货坚果,白花生米,96.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0034151,14.640859711282248,19.325934818892566,30.745805393692716,46.2651166876519,55.342449708646896,3160.0,True,低于阈值/需关注,0.9902703147488314
119,不详,2023,8,2023-08,流通,花生仁/炒货坚果,白皮花生,145.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0051475,9.713453132588635,12.821758135017,20.39825157843613,30.694511898980085,36.71685284118504,3160.0,True,低于阈值/需关注,0.9935448570954316
15,不详,2023,8,2023-08,流通,花生仁/炒货坚果,花生米,62.3,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00221165,22.607555445029732,29.841973187439244,47.475866434562434,71.43987520629395,85.45655958221238,3160.0,True,低于阈值/需关注,0.9849759916346322
54,不详,2023,8,2023-08,流通,花生仁/炒货坚果,花生米,43.8,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0015549,32.156408772268314,42.44645957939418,67.52845842176346,101.61425172036788,121.55122515917424,3160.0,True,低于阈值/需关注,0.9786302346766571
63,不详,2023,8,2023-08,流通,花生仁/炒货坚果,白花生米,122.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.004331,11.544677903486495,15.238974832602171,24.243823597321636,36.48118217501732,43.638882475178946,3160.0,True,低于阈值/需关注,0.9923279039248981
37,不详,2023,9,2023-09,流通,花生仁/炒货坚果,花生米,50.4,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0017892,27.94545048066175,36.887994634473515,58.68544600938967,88.30762351889113,105.63380281690141,3160.0,True,低于阈值/需关注,0.9814286563261425
28,不详,2023,9,2023-09,流通,花生仁/炒货坚果,红花生米,76.3,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00270865,18.459380134015102,24.36638177689993,38.764698281431706,58.331641223487715,69.77645690657708,3160.0,True,低于阈值/需关注,0.9877326904172684
96,不详,2023,9,2023-09,流通,花生仁/炒货坚果,红花生仁,111.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0039405,12.68874508311128,16.74914350970689,26.646364674533686,40.09643446263164,47.96345641416063,3160.0,True,低于阈值/需关注,0.9915676061156539
117,不详,2023,9,2023-09,流通,花生仁/炒货坚果,花生,126.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.004473,11.1781801922647,14.755197853789403,23.474178403755865,35.32304940755645,42.25352112676056,3160.0,True,低于阈值/需关注,0.9925714625304569
100,不详,2023,9,2023-09,流通,花生仁/炒货坚果,花生米,61.7,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00219035,22.827402013376858,30.13217065765745,47.9375442280914,72.13459036227087,86.28757961056452,3160.0,True,低于阈值/需关注,0.9848298910670596
59,不详,2023,10,2023-10,流通,花生仁/炒货坚果,红花生米,458.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.016259,3.075219878221293,4.059290239252107,6.457961744264715,9.717694815179286,11.624331139676487,3160.0,True,低于阈值/需关注,0.9979563412201694
76,不详,2023,10,2023-10,流通,花生仁/炒货坚果,白花生米,44.8,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0015903999999999998,31.43863179074447,41.4989939637827,66.02112676056339,99.34607645875252,118.8380281690141,3160.0,True,低于阈值/需关注,0.9791072383669104
13,不详,2023,10,2023-10,流通,花生仁/炒货坚果,四粒红生花生米,121.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0042955,11.640088464672333,15.36491677336748,24.444185775811896,36.78267954836457,43.999534396461414,3160.0,True,低于阈值/需关注,0.9922644981722114
6,不详,2023,10,2023-10,生产,花生仁/炒货坚果,花生米（小红）,43.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00154425,32.37817710862878,42.73919378338999,67.99417192812044,102.31503966326696,122.3895094706168,3160.0,True,低于阈值/需关注,0.978482856984772
13,不详,2023,10,2023-10,流通,花生仁/炒货坚果,生花生米,89.3,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0031701499999999996,15.772124347428358,20.819204138605432,33.121461129599545,49.839912937873606,59.61863003327919,3160.0,True,低于阈值/需关注,0.9895185249589875
14,不详,2023,10,2023-10,流通,花生仁/炒货坚果,红花生米,265.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.009407500000000001,5.3149083178315175,7.0156789795376024,11.161307467446186,16.795110284347594,20.090353441403135,3160.0,True,低于阈值/需关注,0.9964679406748589
74,不详,2023,10,2023-10,流通,花生仁/炒货坚果,花生米,30.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0010720999999999999,46.63744053726332,61.56142150918759,97.93862512825297,147.3743120977521,176.28952523085536,3160.0,True,低于阈值/需关注,0.9690067641999199
88,不详,2023,10,2023-10,餐饮,花生仁/炒货坚果,生花生,286.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.010152999999999999,4.924652811976756,6.500541711809318,10.341770905151188,15.56190288584655,18.61518762927214,3160.0,True,低于阈值/需关注,0.9967272876882433
92,不详,2023,10,2023-10,流通,花生仁/炒货坚果,花生米,102.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003621,13.808340237503453,18.227009113504558,28.997514498757248,43.634355150510906,52.19552609776305,3160.0,True,低于阈值/需关注,0.9908235713611528
136,不详,2023,10,2023-10,流通,花生仁/炒货坚果,大花生米,78.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0027867499999999997,17.942047187584105,23.68350228761102,37.67829909392662,56.696869112765775,67.82093836906792,3160.0,True,低于阈值/需关注,0.9880764876285043
137,不详,2023,10,2023-10,流通,花生仁/炒货坚果,红皮花生,110.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003905,12.804097311139564,16.901408450704228,26.888604353393085,40.46094750320103,48.399487836107554,3160.0,True,低于阈值/需关注,0.9914909479894326
138,不详,2023,10,2023-10,流通,花生仁/炒货坚果,红皮花生米,21.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0007525999999999999,66.43635397289398,87.69598724422006,139.51634334307735,209.93887855434497,251.12941801753925,3160.0,True,低于阈值/需关注,0.955849258435735
139,不详,2023,10,2023-10,流通,花生仁/炒货坚果,大花生,453.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.016081500000000002,3.109162702484221,4.104094767279172,6.529241675216863,9.824954139850137,11.752635015390354,3160.0,True,低于阈值/需关注,0.9979337842799947
140,不详,2023,10,2023-10,流通,花生仁/炒货坚果,小花生,375.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0133125,3.7558685446009394,4.95774647887324,7.887323943661972,11.868544600938968,14.19718309859155,3160.0,True,低于阈值/需关注,0.9975040114102335
141,不详,2023,10,2023-10,流通,花生仁/炒货坚果,白皮小花生,144.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.005112,9.780907668231611,12.910798122065728,20.539906103286384,30.907668231611893,36.97183098591549,3160.0,True,低于阈值/需关注,0.9935000297141499
142,不详,2023,10,2023-10,流通,花生仁/炒货坚果,小花生,200.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0070999999999999995,7.042253521126762,9.295774647887326,14.788732394366198,22.253521126760564,26.619718309859156,3160.0,True,低于阈值/需关注,0.995320021394188
143,不详,2023,10,2023-10,流通,花生仁/炒货坚果,小花生米,338.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.011999000000000001,4.167013917826486,5.500458371530961,8.750729227435619,13.167763980331694,15.751312609384113,3160.0,True,低于阈值/需关注,0.997230781890052
27,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,79.1,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00280805,17.80595074874023,23.503854988337103,37.39249657235448,56.26680436601913,67.30649383023807,3160.0,True,低于阈值/需关注,0.9881669314644448
29,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,20.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00071,70.4225352112676,92.95774647887325,147.88732394366195,222.53521126760563,266.19718309859155,3160.0,True,低于阈值/需关注,0.953200213941879
