省份,年份,月份,年月,供应链环节,EDI记录数,EDI均值,EDI中位数,EDI_P95,MOE_default_均值,MOE_default_中位数,MOE_default_最小值,低于MOE阈值记录数,MOE风险惩罚项_均值,低于MOE阈值比例,MOE风险等级_主导
安徽,2023,12,2023-12,流通,1,0.0009984,0.0009984,0.0009984,105.16826923076923,105.16826923076923,105.16826923076923,1,0.9667189021421617,1.0,低于阈值/需关注
安徽,2024,1,2024-01,其他,1,0.007045999999999999,0.007045999999999999,0.007045999999999999,14.902072097644055,14.902072097644055,14.902072097644055,1,0.9952841543994797,1.0,低于阈值/需关注
安徽,2024,1,2024-01,餐饮,1,0.0012012,0.0012012,0.0012012,87.41258741258741,87.41258741258741,87.41258741258741,1,0.972337788793485,1.0,低于阈值/需关注
安徽,2024,5,2024-05,流通,1,0.004575999999999999,0.004575999999999999,0.004575999999999999,22.945804195804197,22.945804195804197,22.945804195804197,1,0.9927386695582898,1.0,低于阈值/需关注
安徽,2024,7,2024-07,流通,1,0.005278000000000001,0.005278000000000001,0.005278000000000001,19.89389920424403,19.89389920424403,19.89389920424403,1,0.9937044622771379,1.0,低于阈值/需关注
安徽,2024,12,2024-12,餐饮,1,0.005512,0.005512,0.005512,19.049346879535555,19.049346879535555,19.049346879535555,1,0.993971725671033,1.0,低于阈值/需关注
山东,2023,2,2023-02,生产,1,0.0027241666666666664,0.0027241666666666664,0.0027241666666666664,38.54389721627409,38.54389721627409,38.54389721627409,1,0.9878025641720651,1.0,低于阈值/需关注
山东,2023,4,2023-04,流通,1,0.00245175,0.00245175,0.00245175,42.82655246252676,42.82655246252676,42.82655246252676,1,0.9864472935245169,1.0,低于阈值/需关注
山东,2023,6,2023-06,流通,1,5.448333333333333e-05,5.448333333333333e-05,5.448333333333333e-05,1927.1948608137047,1927.1948608137047,1927.1948608137047,1,0.390128208603258,1.0,低于阈值/需关注
山东,2023,9,2023-09,生产,3,0.0017097388888888886,0.0017201166666666666,0.003002031666666666,163.7365912800258,61.042371156995166,33.391990162613695,3,0.9481846230126502,1.0,低于阈值/需关注
山东,2023,11,2023-11,生产,5,0.0063511999999999996,0.005798583333333333,0.010951149999999998,22.44418837058094,18.10787117543078,8.647669247240982,5,0.992897408743487,1.0,低于阈值/需关注
山东,2023,11,2023-11,餐饮,1,0.008250333333333333,0.008250333333333333,0.008250333333333333,12.726758514807482,12.726758514807482,12.726758514807482,1,0.9959725447737952,1.0,低于阈值/需关注
山东,2023,12,2023-12,流通,1,0.00277865,0.00277865,0.00277865,37.788134525758906,37.788134525758906,37.788134525758906,1,0.9880417295804561,1.0,低于阈值/需关注
山东,2023,12,2023-12,餐饮,2,0.010227299999999998,0.010227299999999998,0.014472329999999997,13.040208870177477,13.040208870177477,7.026231263383298,2,0.9958733516233615,1.0,低于阈值/需关注
山东,2024,1,2024-01,流通,1,0.0018212999999999999,0.0018212999999999999,0.0018212999999999999,57.65112831493988,57.65112831493988,57.65112831493988,1,0.9817559720522342,1.0,低于阈值/需关注
山东,2024,4,2024-04,流通,1,0.007503133333333333,0.007503133333333333,0.007503133333333333,13.994153553626486,13.994153553626486,13.994153553626486,1,0.9955714703944221,1.0,低于阈值/需关注
