源文件路径,目标文件路径,操作,说明,是否canonical副本,时间
reports/figures/peanut_category_risk_ranking.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_category_risk_ranking.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_data_quality_issues.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_data_quality_issues.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_region_risk_ranking.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_region_risk_ranking.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_stage_risk_comparison.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_stage_risk_comparison.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_year_noncompliance_rate.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_year_noncompliance_rate.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/peanut_year_sample_count.svg,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_year_sample_count.svg,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
reports/figures/README.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/README.md,copy,historical package: PEANUT数据清洗与风险底座,False,2026-04-24T23:56:53
data/04_feature/peanut_concentration_clean_table.csv,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_concentration_clean_table.csv,copy,historical package: PEANUT上游查验与浓度修复,True,2026-04-24T23:56:53
data/04_feature/peanut_concentration_distribution_summary.csv,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_concentration_distribution_summary.csv,copy,historical package: PEANUT上游查验与浓度修复,True,2026-04-24T23:56:53
data/04_feature/peanut_count_panel.csv,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_count_panel.csv,copy,historical package: PEANUT上游查验与浓度修复,True,2026-04-24T23:56:53
reports/peanut_concentration_cleaning_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_concentration_cleaning_report.md,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
reports/peanut_upstream_verification_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_upstream_verification_report.md,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
reports/peanut_upstream_repair_log.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/07_日志与错误/peanut_upstream_repair_log.md,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
reports/archive/20260424_整理前历史报告/peanut_count_panel_report.md,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_count_panel_report.md,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
reports/archive/20260424_整理前历史报告/peanut_upstream_audit_summary.json,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_upstream_audit_summary.json,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
reports/tables/peanut_concentration_audit_findings.csv,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_concentration_audit_findings.csv,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
reports/tables/peanut_cleaning_issue_log.csv,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/07_日志与错误/peanut_cleaning_issue_log.csv,copy,historical package: PEANUT上游查验与浓度修复,False,2026-04-24T23:56:53
data/04_feature/peanut_beta_binomial_belief_states.csv,outputs/工作包/20260424_2048_BetaBinomial信念更新/01_数据输出/peanut_beta_binomial_belief_states.csv,copy,historical package: BetaBinomial信念更新,True,2026-04-24T23:56:53
data/04_feature/peanut_belief_mdp_state_features.csv,outputs/工作包/20260424_2048_BetaBinomial信念更新/01_数据输出/peanut_belief_mdp_state_features.csv,copy,historical package: BetaBinomial信念更新,True,2026-04-24T23:56:53
data/04_feature/peanut_beta_binomial_config.json,outputs/工作包/20260424_2048_BetaBinomial信念更新/06_配置参数/peanut_beta_binomial_config.json,copy,historical package: BetaBinomial信念更新,False,2026-04-24T23:56:53
