文件路径,文件名,扩展名,所属目录,文件大小,修改时间,文件类型,初步分类,是否可能是原始数据,是否可能是canonical_latest,是否可能是历史产物,是否可能是临时文件,是否可能影响后续pipeline
reports/archive/20260424_整理前历史报告/skill_scout_report.md,skill_scout_report.md,.md,reports/archive/20260424_整理前历史报告,4041,2026-04-24T18:47:12,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/raw_data_schema_inventory.md,raw_data_schema_inventory.md,.md,reports/archive/cleanup_2026-04-14,5452,2026-04-13T20:03:36,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/raw_data_schema_inventory_FINAL_SiChuan_2023_ALL_DATA.en.md,raw_data_schema_inventory_FINAL_SiChuan_2023_ALL_DATA.en.md,.md,reports/archive/cleanup_2026-04-14,5514,2026-04-14T17:23:24,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/raw_data_schema_inventory_FINAL_SiChuan_2023_ALL_DATA.md,raw_data_schema_inventory_FINAL_SiChuan_2023_ALL_DATA.md,.md,reports/archive/cleanup_2026-04-14,5755,2026-04-14T17:33:10,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/raw_data_validation_proposal_FINAL_SiChuan_2023_ALL_DATA.en.md,raw_data_validation_proposal_FINAL_SiChuan_2023_ALL_DATA.en.md,.md,reports/archive/cleanup_2026-04-14,4271,2026-04-14T17:23:24,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/raw_data_validation_proposal_FINAL_SiChuan_2023_ALL_DATA.md,raw_data_validation_proposal_FINAL_SiChuan_2023_ALL_DATA.md,.md,reports/archive/cleanup_2026-04-14,4317,2026-04-14T17:33:10,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/raw_data_validation_report_FINAL_SiChuan_2023_ALL_DATA.md,raw_data_validation_report_FINAL_SiChuan_2023_ALL_DATA.md,.md,reports/archive/cleanup_2026-04-14,8055,2026-04-14T17:40:16,markdown,报告/表格/图表,False,False,True,False,False
reports/archive/cleanup_2026-04-14/tables/raw_data_validation_summary_FINAL_SiChuan_2023_ALL_DATA.csv,raw_data_validation_summary_FINAL_SiChuan_2023_ALL_DATA.csv,.csv,reports/archive/cleanup_2026-04-14/tables,7728,2026-04-14T17:40:16,table,报告/表格/图表,False,False,True,False,False
data/04_feature/archive/peanut_belief_mdp_state_features.xlsx,peanut_belief_mdp_state_features.xlsx,.xlsx,data/04_feature/archive,993978,2026-04-24T20:48:45,spreadsheet,数据产物,False,False,True,False,False
data/04_feature/archive/peanut_count_panel.xlsx,peanut_count_panel.xlsx,.xlsx,data/04_feature/archive,93872,2026-04-24T20:48:43,spreadsheet,数据产物,False,False,True,False,False
outputs/archive/README.md,README.md,.md,outputs/archive,131,2026-04-24T22:44:05,markdown,任务输出/索引,False,False,True,False,False
outputs/archive/cache_20260424/src/workflow1/__pycache__/cli.cpython-313.pyc,cli.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/__pycache__,6981,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/__pycache__/launch.cpython-313.pyc,launch.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/__pycache__,5941,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/__pycache__/orchestration.cpython-313.pyc,orchestration.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/__pycache__,2915,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/__pycache__/__init__.cpython-313.pyc,__init__.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/__pycache__,421,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/__pycache__/__main__.cpython-313.pyc,__main__.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/__pycache__,375,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/utils/__pycache__/io.cpython-313.pyc,io.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/utils/__pycache__,1289,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/utils/__pycache__/logging.cpython-313.pyc,logging.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/utils/__pycache__,1024,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/utils/__pycache__/__init__.cpython-313.pyc,__init__.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/utils/__pycache__,386,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/pipelines/__pycache__/runner.cpython-313.pyc,runner.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/pipelines/__pycache__,1355,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
outputs/archive/cache_20260424/src/workflow1/pipelines/__pycache__/__init__.cpython-313.pyc,__init__.cpython-313.pyc,.pyc,outputs/archive/cache_20260424/src/workflow1/pipelines/__pycache__,356,2026-04-24T22:44:05,other,任务输出/索引,False,False,True,True,False
